STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,year
63740099999,2015-03-17,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.5,24,56.2,24,9999.9,0,999.9,0,9.6,24,12.4,24,18.1,26.0,86.2, ,61.5, ,0.0,I,999.9,0,2015
63740099999,2015-03-18,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.5,24,55.8,24,9999.9,0,999.9,0,6.8,21,12.0,24,20.0,28.0,83.3, ,57.2, ,0.0,I,999.9,0,2015
63740099999,2015-03-19,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.0,24,53.0,24,9999.9,0,999.9,0,9.5,21,10.5,24,18.1,999.9,85.1, ,60.8,*,0.0,I,999.9,0,2015
63740099999,2015-03-20,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.3,24,56.3,24,9999.9,0,999.9,0,10.5,22,10.7,24,22.9,999.9,84.4, ,59.4, ,0.0,I,999.9,0,2015
63740099999,2015-03-21,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",72.8,24,57.3,24,9999.9,0,999.9,0,9.8,24,9.3,24,17.1,999.9,86.0, ,59.4, ,0.0,I,999.9,0,2015
63740099999,2015-03-22,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.7,24,59.4,24,9999.9,0,999.9,0,7.5,24,11.9,24,22.0,24.1,84.2, ,61.9, ,0.0,I,999.9,0,2015
63740099999,2015-03-23,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.6,21,58.7,21,9999.9,0,999.9,0,8.3,21,12.6,21,18.1,999.9,81.3, ,61.5, ,0.0,I,999.9,0,2015
63740099999,2015-03-24,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.1,24,59.4,24,9999.9,0,999.9,0,8.3,23,10.4,24,15.0,999.9,78.3, ,60.8, ,0.16,G,999.9,10000,2015
63740099999,2015-03-25,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.6,24,60.7,24,9999.9,0,999.9,0,7.2,24,9.3,24,18.1,999.9,82.4, ,62.6,*,0.0,G,999.9,10000,2015
63740099999,2015-03-26,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",65.4,23,61.1,23,9999.9,0,999.9,0,7.2,23,9.3,23,14.0,999.9,73.4,*,59.5, ,0.2,G,999.9,10000,2015
63740099999,2015-03-27,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",68.6,24,59.1,24,9999.9,0,999.9,0,8.3,24,9.0,24,15.0,999.9,78.8,*,59.9, ,0.08,G,999.9,0,2015
63740099999,2015-03-28,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",69.0,24,61.3,24,9999.9,0,999.9,0,7.1,24,9.8,24,19.0,999.9,81.9, ,62.6,*,0.0,G,999.9,10000,2015
63740099999,2015-03-29,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.2,24,60.2,24,9999.9,0,999.9,0,7.6,24,9.0,24,17.1,999.9,83.5, ,60.1, ,0.16,G,999.9,10000,2015
63740099999,2015-03-30,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",70.0,24,61.1,24,9999.9,0,999.9,0,9.5,24,5.3,24,22.0,999.9,81.5, ,61.7, ,0.0,G,999.9,10000,2015
63740099999,2015-03-31,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.5,24,59.6,24,9999.9,0,999.9,0,6.4,24,8.3,24,17.1,999.9,84.2, ,61.7, ,0.0,G,999.9,110000,2015
63740099999,2015-04-01,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.8,24,57.6,23,9999.9,0,999.9,0,6.7,24,6.9,24,13.0,999.9,84.7, ,61.7, ,0.03,A,999.9,0,2015
63740099999,2015-04-02,-1.319239,36.927775,1623.66,"NAIROBI JKIA, KE",71.5,24,59.6,24,9999.9,0,999.9,0,6.7,24,9.0,24,22.0,999.9,85.1, ,61.5, ,99.99, ,999.9,10000,2015
